OrgId,IncidentId,AlertId,AlertTitle,Category,IncidentGrade,EntityType,EvidenceRole,IpAddress,Url,ApplicationId,City,Day,Year,Hour,Time
0,612,123247,6,10,2,8,1,27,160396,2251,3,4,2024,6,7645
88,326,210035,43,7,1,20,0,360606,160396,2251,10630,14,2024,3,3871
809,58352,712507,298,10,1,19,1,360606,68652,2251,10630,13,2024,4,6176
92,32992,774301,2,1,0,19,1,360606,13,2251,10630,10,2024,16,22845
148,4359,188041,74,6,2,20,0,360606,160396,2251,10630,15,2024,1,1495
11,417400,825450,0,10,1,8,1,30410,160396,2251,3,10,2024,13,17715
522,566,705663,2,1,0,19,1,360606,3306,2251,10630,14,2024,23,33253
125,38679,47423,3919,7,0,11,0,360606,160396,2251,10630,6,2024,13,17955
21,414,197969,4,16,0,15,1,360606,160396,2251,10630,9,2024,10,13051
72,70,831157,3,10,2,20,0,360606,160396,2251,10630,8,2024,2,2759
268,251,473068,4,16,2,9,0,360606,160396,2251,10630,12,2024,18,26301
597,159032,1380964,373,6,2,3,0,360606,160396,3,10630,7,2024,7,8879
23,107,409854,3,10,2,8,1,279,160396,2251,46,6,2024,0,601
6,2472,1148,284,9,1,8,1,8146,160396,2251,10630,26,2024,21,30082
376,93925,289288,473,10,0,1,0,360606,160396,2251,10630,12,2024,14,18484
2119,6622,23284,11,10,0,11,1,360606,160396,2251,10630,10,2024,10,13194
261,110412,41503,344,0,0,20,0,360606,160396,2251,10630,3,2024,17,23592
51,84683,134887,26,6,0,6,1,360606,160396,2251,10630,5,2024,4,5448
34,329953,709535,2,1,0,20,0,360606,160396,2251,10630,5,2024,20,29507
592,53360,215453,9966,7,0,6,0,360606,160396,2251,10630,13,2024,13,17455
428,54837,239519,1,10,0,19,1,360606,1557,2251,10630,9,2024,4,5340
789,46895,147425,5,10,0,11,1,360606,160396,2251,10630,4,2024,20,29576
68,125436,462477,5,10,0,12,0,360606,160396,2251,10630,11,2024,18,26554
4,2640,327,7,10,1,9,0,360606,160396,2251,10630,29,2024,23,34039
75,478,939479,3,10,2,4,1,360606,160396,2251,10630,3,2024,14,19460
12,2442,1198,502,9,0,8,1,1252,160396,2251,10630,21,2024,5,7124
62,485993,1408328,39,16,2,20,0,360606,160396,2251,10630,13,2024,0,600
0,211,160158,0,10,2,4,1,360606,160396,2251,10630,11,2024,8,10501
206,251904,1009993,0,10,1,4,1,360606,160396,2251,10630,13,2024,16,23193
17,63837,10597,3507,7,1,12,1,360606,160396,2251,10630,5,2024,20,28415
16,203600,643809,30456,7,0,11,0,360606,160396,2251,10630,6,2024,21,30926
0,260,520211,0,10,2,8,1,284,160396,2251,58,6,2024,17,24593
18,391638,1565403,32,6,1,3,0,360606,160396,4,10630,12,2024,22,32276
4,2624,487,7,10,1,9,0,360606,160396,2251,10630,24,2024,22,31949
1030,30133,239577,1,10,2,10,1,360606,160396,2251,10630,3,2024,16,22898
7,688,3542,10,9,1,8,1,1882,160396,2251,10630,1,2024,18,25429
201,86074,573023,97,16,0,8,1,80,160396,2251,10630,9,2024,5,7470
28,520293,529009,0,10,2,4,1,360606,160396,2251,10630,9,2024,0,459
59,518657,1381976,267,16,0,20,0,360606,160396,2251,10630,7,2024,13,17316
162,33356,95969,5,10,0,11,1,360606,160396,2251,10630,4,2024,17,24384
4,2548,427,7,10,1,9,0,360606,160396,2251,10630,25,2024,4,6292
734,178669,580340,2409,16,0,20,0,360606,160396,2251,10630,11,2024,2,3830
88,26726,1114326,43,7,1,11,0,360606,160396,2251,10630,10,2024,1,2393
293,77950,155901,1,10,0,11,1,360606,160396,2251,10630,9,2024,19,27298
2,11288,3523,13,7,0,6,0,360606,160396,2251,10630,11,2024,13,17836
289,155197,250634,2,1,0,15,1,360606,160396,2251,10630,5,2024,12,16782
1,46,376629,0,10,2,20,0,360606,160396,2251,10630,6,2024,5,7080
133,17504,757941,2,1,0,15,1,360606,160396,2251,10630,11,2024,11,14809
30,45702,45032,1,10,0,12,0,360606,160396,2251,10630,3,2024,2,2727
0,375,169963,0,10,2,4,1,360606,160396,2251,10630,10,2024,5,6898
108,144844,118616,5,10,2,10,1,360606,160396,2251,10630,13,2024,15,21308
8,5447,12744,1,10,2,20,0,360606,160396,2251,10630,3,2024,4,6062
35,276,528176,0,10,2,20,0,360606,160396,2251,10630,7,2024,20,29546
33,5255,3666,25,9,0,20,0,360606,160396,2251,10630,7,2024,16,21855
60,381,5319,3279,7,1,11,0,360606,160396,2251,10630,11,2024,9,12211
53,4602,1745,24,2,1,20,0,360606,160396,2251,10630,5,2024,13,17909
184,19851,660282,17,10,1,11,1,360606,160396,2251,10630,5,2024,16,22640
151,394249,427886,202,16,2,13,1,360606,160396,2251,10630,11,2024,10,12787
91,628,36262,15309,7,0,8,1,646,160396,2251,10630,3,2024,4,5946
232,116739,1126839,71223,7,0,9,0,360606,160396,2251,10630,7,2024,17,25108
25,216,64433,5447,7,0,11,0,360606,160396,2251,10630,4,2024,1,1492
13,8629,8496,4740,7,0,6,0,360606,160396,2251,10630,12,2024,19,27058
12,449,151746,55,1,0,8,1,246,160396,2251,10630,4,2024,6,7636
0,136,1202920,0,10,2,20,0,360606,160396,2251,10630,11,2024,8,11133
37,52,10352,5525,7,1,11,0,360606,160396,2251,10630,12,2024,9,11445
724,135653,187781,468,16,2,20,0,360606,160396,2251,10630,11,2024,21,30189
10,60285,1161589,8667,13,0,20,0,360606,160396,2251,10630,4,2024,14,19332
22,146,1256190,0,10,2,20,0,360606,160396,2251,10630,8,2024,13,17206
